BBSID, Signal, Time, Timestamp
00:1a:1e:8e:ef:e2,-86,13132226,2040259016
00:1a:1e:8e:ef:e1,-87,13132226,2040259022
00:1a:1e:8e:ef:e3,-85,13132226,2040258853
00:1a:1e:8e:ef:e0,-88,13132226,2040259047
40:01:7a:97:2e:cf,-77,13132226,2040258296
50:0f:80:d9:36:2f,-77,13132226,2040258301
38:90:a5:59:af:4f,-66,13132226,2040258025
00:03:52:a9:5d:a5,-80,13132226,2040258474
00:03:52:a9:5d:a1,-81,13132226,2040258899
50:0f:80:d9:37:8f,-78,13132226,2040258306
34:fc:b9:3c:f0:31,-71,13132226,2040258089
0e:8d:cb:db:ab:5c,-72,13132226,2040258107
34:fc:b9:3c:f0:30,-72,13132226,2040258112
88:57:ee:b3:6b:bd,-83,13132226,2040258803
00:c8:8b:13:4d:7f,-82,13132226,2040258583
00:78:88:5c:8e:40,-82,13132226,2040258867
34:fc:b9:3c:f0:70,-79,13132226,2040258358
20:4c:9e:eb:24:7e,-90,13132226,2040259156
34:fc:b9:3d:13:70,-81,13132226,2040258526
34:fc:b9:3d:13:71,-81,13132226,2040258520
34:fc:b9:3c:f0:71,-80,13132226,2040258392
6c:19:8f:e6:22:ce,-82,13132226,2040258553
6e:19:8f:e6:22:ce,-83,13132226,2040258613
0e:8d:cb:db:c1:68,-78,13132226,2040258329
00:35:1a:bc:9f:6c,-80,13132226,2040258410
00:35:1a:bc:9f:6f,-79,13132226,2040258369
86:15:54:50:1a:3c,-79,13132226,2040258347
00:c8:8b:28:3c:ef,-72,13132226,2040258095
6e:19:8f:e6:21:00,-82,13132226,2040258596
34:fc:b9:3c:e5:d0,-81,13132226,2040258514
6c:19:8f:e6:37:bf,-84,13132226,2040258722
6e:19:8f:e6:37:bf,-84,13132226,2040258715
20:4c:9e:eb:29:6f,-88,13132226,2040259054
00:c8:8b:28:3c:ee,-73,13132226,2040258118
82:15:54:50:1a:3c,-79,13132226,2040258353
20:4c:9e:eb:29:6d,-88,13132226,2040259068
00:c8:8b:13:4d:7e,-83,13132226,2040258644
00:35:1a:bc:9f:6e,-79,13132226,2040258375
7e:19:8f:e6:22:ce,-83,13132226,2040258608
7e:19:8f:e6:37:bf,-83,13132226,2040258690
00:c8:8b:28:3c:ed,-72,13132226,2040258101
7e:19:8f:e6:21:00,-84,13132226,2040258759
00:01:8e:65:65:30,-71,13132226,2040258204
8e:15:54:50:1a:3c,-79,13132226,2040258336
34:fc:b9:3c:d0:71,-80,13132226,2040258398
34:fc:b9:3c:d0:70,-80,13132226,2040258404
8a:15:54:50:1a:3c,-79,13132226,2040258341
34:fc:b9:3c:e5:d1,-80,13132226,2040258381
dc:fb:02:93:0c:46,-80,13132226,2040258421
6c:19:8f:e6:21:00,-83,13132226,2040258649
50:c7:bf:14:74:7a,-87,13132226,2040258933
00:c8:8b:13:4d:7c,-82,13132226,2040258589
00:c8:8b:1b:fe:0e,-78,13132226,2040258317
6c:19:8f:e6:37:bd,-69,13132226,2040258039
3c:ce:73:6c:a1:1d,-89,13132226,2040259081
3c:ce:73:6c:a1:1b,-88,13132226,2040259035
3c:ce:73:6c:a1:1f,-88,13132226,2040259028
00:01:8e:65:65:31,-75,13132226,2040258220
1e:19:8f:e6:37:bd,-70,13132226,2040258056
0e:19:8f:e6:37:bd,-70,13132226,2040258070
cc:e1:d5:6e:44:15,-85,13132226,2019827675
ce:e1:d5:ab:ab:26,-83,13132226,2040258696
00:03:52:e3:7a:ac,-78,13132226,2019827344
dc:fb:02:a5:ce:f0,-74,13132226,2040258210
00:c8:8b:28:3e:9e,-83,13132226,2040258633
00:c8:8b:1b:fe:0f,-78,13132226,2040258311
00:c8:8b:1b:fe:0b,-78,13132226,2040258323
00:c8:8b:28:3e:9f,-82,13132226,2040258565
20:4c:9e:eb:24:7d,-88,13132226,2040259041
00:c8:8b:28:3e:9b,-82,13132226,2040258571
00:c8:8b:1b:fe:0d,-79,13132226,2040258364
00:c8:8b:28:3e:9d,-83,13132226,2040258639
34:fc:b9:3c:f0:f0,-83,13132226,2040258683
00:03:52:a9:5d:ac,-74,13132226,2019827114
10:6f:3f:74:16:0b,-65,13132226,2040258012
34:fc:b9:3c:f0:51,-81,13132226,2040258502
34:fc:b9:3c:f0:50,-81,13132226,2040258508
0e:19:8f:e6:22:cc,-72,13132226,2040258187
34:fc:b9:3c:d1:b1,-83,13132226,2040258619
20:4c:9e:eb:29:6e,-88,13132226,2040259061
2c:d0:2d:d8:8e:6f,-90,13132226,2019828555
18:64:72:6a:77:cb,-77,13132226,2040258415
00:35:1a:dc:79:ae,-84,13132226,2040258744
00:1a:1e:92:ad:e1,-71,13132226,2040258152
00:03:52:a9:5d:ab,-72,13132226,2040258236
00:03:52:e3:7a:aa,-71,13132226,2040258231
88:57:ee:f2:6a:48,-67,13132226,2019826681
00:1a:1e:92:ad:e2,-69,13132226,2019826644
00:c8:8b:28:3c:eb,-73,13132226,2040258123
74:03:bd:63:bd:00,-71,13132226,2040258135
50:0f:80:d9:37:80,-76,13132226,2019827273
6c:19:8f:e6:22:cc,-72,13132226,2040258158
cc:e1:d5:ab:ab:25,-85,13132226,2040258783
34:fc:b9:3c:f0:f1,-83,13132226,2040258676
34:fc:b9:3c:ee:d1,-76,13132226,2040258290
00:c8:8b:28:41:ce,-80,13132226,2040258387
88:57:ee:b3:6b:bc,-78,13132226,2019827313
34:fc:b9:3c:f2:f1,-85,13132226,2040258797
34:fc:b9:3c:f2:f0,-86,13132226,2040258926
02:18:1a:84:ab:ee,-83,13132226,2040258824
00:c8:8b:28:41:cf,-81,13132226,2040258532
00:c8:8b:28:41:cb,-82,13132226,2040258559
84:af:ec:03:a6:57,-84,13132226,2040258765
34:fc:b9:3c:ee:d0,-75,13132226,2040258129
00:01:8e:65:65:32,-86,13132226,2040259177
00:c8:8b:1b:fd:9f,-84,13132226,2019827593
00:1a:1e:8e:ff:41,-81,13132226,2019827815
34:fc:b9:3c:e1:b1,-87,13132226,2040258939
20:4c:9e:eb:24:7f,-89,13132226,2040259089
00:c8:8b:1b:fd:9b,-86,13132226,2019828303
00:c8:8b:13:4e:8b,-82,13132226,2040258577
34:fc:b9:3c:e1:b0,-88,13132226,2040258951
34:3d:c4:d8:fe:34,-91,13132226,2019828778
f0:b2:e5:2a:e9:2c,-87,13132226,2040259191
00:03:52:a9:5d:a8,-72,13132226,2019827067
00:03:52:a9:5d:aa,-73,13132226,2040258276
00:1a:1e:92:ad:e0,-71,13132226,2019826849
00:03:52:a9:5d:ad,-73,13132226,2019827081
00:03:52:a9:5d:a9,-71,13132226,2040258226
00:c8:8b:28:41:cd,-81,13132226,2040258539
00:c8:8b:1b:fd:9d,-84,13132226,2040258708
00:c8:8b:13:4e:8d,-83,13132226,2040258602
0c:8d:db:db:ab:5c,-64,13132226,2040258005
84:9f:b5:ef:8e:da,-71,13132226,2040258141
0c:8f:ff:d7:e1:47,-73,13132226,2040258194
0c:8d:db:db:c1:68,-67,13132226,2040258033
00:24:a5:f5:09:dc,-75,13132226,2040258215
00:90:fe:9c:49:a0,-75,13132226,2040258199
00:1a:1e:92:ae:a3,-83,13132226,2040258812
02:90:fe:9c:49:a0,-76,13132226,2040258427
74:67:f7:74:9a:80,-76,13132226,2040258491
00:1a:1e:92:ae:a5,-84,13132226,2040258831
00:1a:1e:92:ae:a1,-84,13132226,2040258838
00:1a:1e:83:c1:61,-79,13132226,2040258439
74:67:f7:74:9a:81,-79,13132226,2040258497
00:c8:8b:13:4e:8e,-84,13132226,2040258702
00:a0:de:e5:4a:10,-89,13132226,2040258957
00:c8:8b:1b:fd:9e,-85,13132226,2040258777
00:c8:8b:1b:eb:bf,-85,13132226,2040258771
6e:19:8f:e6:38:3a,-90,13132226,2040259142
6c:19:8f:e6:38:3a,-90,13132226,2040259148
f0:b2:e5:2a:e9:2f,-87,13132226,2040259184
00:a6:ca:34:5f:7c,-89,13132226,2040258970
00:a6:ca:34:5f:7f,-90,13132226,2040258995
00:a6:ca:34:5e:6c,-90,13132226,2040259001
00:03:52:a9:5d:a0,-85,13132226,2040258919
00:03:52:a9:5d:a2,-85,13132226,2040258913
00:03:52:a9:5d:a3,-86,13132226,2040259213
00:1a:1e:92:ae:a0,-83,13132226,2040258818
00:03:52:a9:5d:a4,-85,13132226,2040258907
00:a6:ca:34:5e:6e,-87,13132226,2040258945
00:a6:ca:34:5f:7e,-89,13132226,2040258964
b0:5b:67:d5:03:97,-60,13132226,2040257981
00:60:b9:1b:c0:06,-65,13132226,2040258018
c0:25:a2:53:1a:b4,-68,13132226,2040258076
18:64:72:6a:77:c2,-70,13132226,2040258063
b0:5b:67:d4:fb:97,-70,13132226,2040258083
38:90:a5:59:af:40,-72,13132226,2040258163
00:c8:8b:13:4e:8f,-81,13132226,2040258545
00:c8:8b:28:47:de,-83,13132226,2040258625
a4:12:42:75:b4:03,-88,13132226,2040259074
10:66:82:a7:24:c3,-89,13132226,2040259132
34:fc:b9:3c:e8:b0,-89,13132226,2040258976
00:c8:8b:28:47:db,-84,13132226,2040258735
00:35:1a:dc:79:ad,-84,13132226,2040258750
00:c8:8b:28:47:df,-84,13132226,2040258727
50:67:ae:41:e0:bc,-84,13132226,2040258844
50:67:ae:41:e0:ba,-85,13132226,2040258859
00:a6:ca:34:5e:6f,-89,13132226,2040258986
50:0f:80:b7:0f:cf,-90,13132226,2040259008
00:23:26:7c:31:20,-90,13132226,2040259200
58:93:96:1d:b6:bc,-90,13132226,2040259169
b6:12:42:75:b4:02,-80,13132226,2040258482
00:03:52:e3:7a:a2,-89,13132226,2040259230
00:03:52:e3:7a:a0,-90,13132226,2040259255
00:03:52:e3:7a:a3,-90,13132226,2040259246
1e:19:8f:e6:22:cc,-71,13132226,2040258146
00:03:52:e3:7a:ad,-74,13132226,2040258282
00:c8:8b:28:47:dd,-85,13132226,2040258790
7e:19:8f:e6:38:3a,-90,13132226,2040259163
00:03:52:e3:7a:a4,-89,13132226,2040259220
00:03:52:e3:7a:a1,-89,13132226,2040259239
delimiter,delimiter,delimiter,delimiter
00:1a:1e:8e:ef:e2,-86,13132227,2040259016
00:1a:1e:8e:ef:e1,-87,13132227,2040259022
00:1a:1e:8e:ef:e3,-85,13132227,2040258853
00:1a:1e:8e:ef:e0,-88,13132227,2040259047
40:01:7a:97:2e:cf,-77,13132227,2040258296
50:0f:80:d9:36:2f,-77,13132227,2040258301
38:90:a5:59:af:4f,-66,13132227,2040258025
00:03:52:a9:5d:a5,-80,13132227,2040258474
00:03:52:a9:5d:a1,-81,13132227,2040258899
50:0f:80:d9:37:8f,-78,13132227,2040258306
34:fc:b9:3c:f0:31,-71,13132227,2040258089
0e:8d:cb:db:ab:5c,-72,13132227,2040258107
34:fc:b9:3c:f0:30,-72,13132227,2040258112
88:57:ee:b3:6b:bd,-83,13132227,2040258803
00:c8:8b:13:4d:7f,-82,13132227,2040258583
00:78:88:5c:8e:40,-82,13132227,2040258867
34:fc:b9:3c:f0:70,-79,13132227,2040258358
20:4c:9e:eb:24:7e,-90,13132227,2040259156
34:fc:b9:3d:13:70,-81,13132227,2040258526
34:fc:b9:3d:13:71,-81,13132227,2040258520
34:fc:b9:3c:f0:71,-80,13132227,2040258392
6c:19:8f:e6:22:ce,-82,13132227,2040258553
6e:19:8f:e6:22:ce,-83,13132227,2040258613
0e:8d:cb:db:c1:68,-78,13132227,2040258329
00:35:1a:bc:9f:6c,-80,13132227,2040258410
00:35:1a:bc:9f:6f,-79,13132227,2040258369
86:15:54:50:1a:3c,-79,13132227,2040258347
